2026-07-05 13:56:25.316 INFO  (main) [] o.e.j.s.Server jetty-12.0.27; built: 2025-09-10T23:47:49.595Z; git: 3569a3e83ad136ee44e26b370b74c1c5e9f33e61; jvm 25.0.2+10-LTS
2026-07-05 13:56:25.568 INFO  (main) [] o.e.j.e.w.StandardDescriptorProcessor NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
2026-07-05 13:56:25.583 INFO  (main) [] o.e.j.s.h.ContextHandler Started oeje10w.WebAppContext@49bd54f7{solr-jetty-context,/solr,b=file:///opt/solr-10.0.0/server/solr-webapp/webapp/,a=AVAILABLE,h=oeje10s.SessionHandler@6b5f8707{STARTED}}{/opt/solr-10.0.0/server/solr-webapp/webapp}
2026-07-05 13:56:25.589 INFO  (main) [] o.a.s.s.CoreContainerProvider Using logger factory org.apache.logging.slf4j.Log4jLoggerFactory
2026-07-05 13:56:25.592 INFO  (main) [] o.a.s.s.CoreContainerProvider  ___      _       Welcome to Apache Solr™ version 10.0.0
2026-07-05 13:56:25.592 INFO  (main) [] o.a.s.s.CoreContainerProvider / __| ___| |_ _   Starting in standalone mode on port 8983
2026-07-05 13:56:25.592 INFO  (main) [] o.a.s.s.CoreContainerProvider \__ \/ _ \ | '_|  Install dir: /opt/solr-10.0.0
2026-07-05 13:56:25.592 INFO  (main) [] o.a.s.s.CoreContainerProvider |___/\___/_|_|    Start time: 2026-07-05T13:56:25.592967665Z
2026-07-05 13:56:25.595 INFO  (main) [] o.a.s.s.CoreContainerProvider Solr started with "-XX:+CrashOnOutOfMemoryError" that will crash on any OutOfMemoryError exception. The cause of the OOME will be logged in the crash file at the following path: /var/solr/logs/jvm_crash_13.log
2026-07-05 13:56:25.672 INFO  (main) [] o.a.l.i.v.PanamaVectorizationProvider Java vector incubator API enabled; uses preferredBitSize=512; FMA enabled
2026-07-05 13:56:25.674 INFO  (main) [] o.a.s.s.CoreContainerProvider Solr Home: /var/solr/data (source: system property: solr.solr.home)
2026-07-05 13:56:25.683 INFO  (main) [] o.a.s.c.SolrXmlConfig solr.xml not found in SOLR_HOME, using built-in default
2026-07-05 13:56:25.684 INFO  (main) [] o.a.s.c.SolrXmlConfig Loading solr.xml from /opt/solr-10.0.0/server/solr/solr.xml
